timeStamp,city,temperature,description
2026-03-16T12:44:27.848Z,Santiago De Compostella,18.03,clear sky
2026-03-16T15:08:04.887Z,Santiago De Compostella,20.74,clear sky
2026-03-16T15:26:06.347Z,Santiago De Compostella,20.74,clear sky
2026-03-16T15:30:31.085Z,Santiago De Compostella,21.05,clear sky
2026-03-16T16:15:02.161Z,Santiago de Compostella,21.49,clear sky
2026-03-16T16:23:20.845Z,Santiago de Compostella,21.49,clear sky
2026-03-17T14:18:11.082Z,Santiago de Compostela,22.24,clear sky
2026-03-17T15:01:24.767Z,Santiago de Compostela,22.55,clear sky
2026-03-17T17:07:08.587Z,Santiago de Compostela,21.93,clear sky
2026-03-17T19:07:40.343Z,Santiago de Compostela,18.73,clear sky
2026-03-17T20:43:48.001Z,Santiago de Compostela,13.73,clear sky
2026-03-17T22:38:07.910Z,Santiago de Compostela,10.68,clear sky
2026-03-18T02:37:01.649Z,Santiago de Compostela,9.49,few clouds
2026-03-18T05:27:50.612Z,Santiago de Compostela,7.97,few clouds
2026-03-18T07:07:24.893Z,Santiago de Compostela,3.89,overcast clouds
2026-03-18T08:56:07.997Z,Santiago de Compostela,10.24,few clouds
2026-03-18T10:56:13.408Z,Santiago de Compostela,13.43,clear sky
2026-03-18T13:22:28.659Z,Santiago de Compostela,16.31,clear sky
2026-03-18T15:08:00.722Z,Santiago de Compostela,14.64,overcast clouds
2026-03-18T17:06:28.389Z,Santiago de Compostela,16.49,clear sky
2026-03-18T19:07:01.832Z,Santiago de Compostela,15.73,clear sky
2026-03-18T20:42:31.364Z,Santiago de Compostela,2.7,few clouds
2026-03-18T22:36:25.537Z,Santiago de Compostela,9.06,scattered clouds
2026-03-19T02:38:09.256Z,Santiago de Compostela,9.73,clear sky
2026-03-19T05:24:00.656Z,Santiago de Compostela,8.23,broken clouds
2026-03-19T07:03:49.393Z,Santiago de Compostela,7.73,few clouds
2026-03-19T08:50:41.921Z,Santiago de Compostela,13.73,clear sky
2026-03-19T10:46:51.484Z,Santiago de Compostela,19.51,overcast clouds
2026-03-19T13:15:01.373Z,Santiago de Compostela,22.36,clear sky
2026-03-19T14:53:04.909Z,Santiago de Compostela,22.86,scattered clouds
2026-03-19T17:01:58.392Z,Santiago de Compostela,20.67,few clouds
2026-03-19T19:04:51.606Z,Santiago de Compostela,17.73,clear sky
2026-03-19T20:43:02.940Z,Santiago de Compostela,12.97,clear sky
2026-03-19T22:33:38.275Z,Santiago de Compostela,12.49,clear sky
2026-03-20T02:29:53.395Z,Santiago de Compostela,7.59,overcast clouds
2026-03-20T05:17:31.028Z,Santiago de Compostela,7.88,overcast clouds
2026-03-20T07:02:11.548Z,Santiago de Compostela,8.56,overcast clouds
2026-03-20T08:49:20.601Z,Santiago de Compostela,13.73,clear sky
2026-03-20T10:42:40.797Z,Santiago de Compostela,15.73,clear sky
2026-03-20T13:08:48.164Z,Santiago de Compostela,18.98,broken clouds
2026-03-20T14:47:49.366Z,Santiago de Compostela,16.76,overcast clouds
2026-03-20T16:51:15.845Z,Santiago de Compostela,8.01,overcast clouds
2026-03-20T18:56:15.243Z,Santiago de Compostela,11.58,broken clouds
2026-03-20T20:37:51.211Z,Santiago de Compostela,6.46,overcast clouds
2026-03-20T22:33:35.506Z,Santiago de Compostela,10.87,clear sky
2026-03-21T02:24:22.966Z,Santiago de Compostela,9.17,overcast clouds
2026-03-21T05:08:13.604Z,Santiago de Compostela,2.63,overcast clouds
2026-03-21T06:51:55.867Z,Santiago de Compostela,8.97,overcast clouds
2026-03-21T08:39:18.516Z,Santiago de Compostela,12.18,overcast clouds
2026-03-21T10:32:13.167Z,Santiago de Compostela,15.61,overcast clouds
2026-03-21T12:58:24.783Z,Santiago de Compostela,19.99,few clouds
2026-03-21T14:31:42.180Z,Santiago de Compostela,21.44,broken clouds
2026-03-21T16:35:37.715Z,Santiago de Compostela,20.11,scattered clouds
2026-03-21T18:41:46.032Z,Santiago de Compostela,11.79,few clouds
2026-03-21T20:32:12.421Z,Santiago de Compostela,13.74,clear sky
2026-03-21T22:29:55.545Z,Santiago de Compostela,9.09,clear sky
2026-03-22T02:38:48.016Z,Santiago de Compostela,4.09,clear sky
2026-03-22T05:20:25.176Z,Santiago de Compostela,5.73,clear sky
2026-03-22T06:57:21.457Z,Santiago de Compostela,3.59,few clouds
2026-03-22T08:40:02.170Z,Santiago de Compostela,8.73,clear sky
2026-03-22T10:32:29.606Z,Santiago de Compostela,13.18,clear sky
2026-03-22T13:00:45.562Z,Santiago de Compostela,17.38,clear sky
2026-03-22T14:32:32.449Z,Santiago de Compostela,18.72,clear sky
2026-03-22T16:36:19.334Z,Santiago de Compostela,17.86,clear sky
2026-03-22T18:42:50.392Z,Santiago de Compostela,12.97,clear sky
