timeStamp,city,temperature,description
2026-03-17T14:18:11.082Z,Santiago de Compostela,22.24,clear sky
2026-03-17T15:01:24.767Z,Santiago de Compostela,22.55,clear sky
2026-03-17T17:07:08.587Z,Santiago de Compostela,21.93,clear sky
2026-03-17T19:07:40.343Z,Santiago de Compostela,18.73,clear sky
2026-03-17T20:43:48.001Z,Santiago de Compostela,13.73,clear sky
2026-03-17T22:38:07.910Z,Santiago de Compostela,10.68,clear sky
2026-03-18T02:37:01.649Z,Santiago de Compostela,9.49,few clouds
2026-03-18T05:27:50.612Z,Santiago de Compostela,7.97,few clouds
2026-03-18T07:07:24.893Z,Santiago de Compostela,3.89,overcast clouds
2026-03-18T08:56:07.997Z,Santiago de Compostela,10.24,few clouds
2026-03-18T10:56:13.408Z,Santiago de Compostela,13.43,clear sky
2026-03-18T13:22:28.659Z,Santiago de Compostela,16.31,clear sky
2026-03-18T15:08:00.722Z,Santiago de Compostela,14.64,overcast clouds
2026-03-18T17:06:28.389Z,Santiago de Compostela,16.49,clear sky
2026-03-18T19:07:01.832Z,Santiago de Compostela,15.73,clear sky
2026-03-18T20:42:31.364Z,Santiago de Compostela,2.7,few clouds
2026-03-18T22:36:25.537Z,Santiago de Compostela,9.06,scattered clouds
2026-03-19T02:38:09.256Z,Santiago de Compostela,9.73,clear sky
2026-03-19T05:24:00.656Z,Santiago de Compostela,8.23,broken clouds
2026-03-19T07:03:49.393Z,Santiago de Compostela,7.73,few clouds
2026-03-19T08:50:41.921Z,Santiago de Compostela,13.73,clear sky
2026-03-19T10:46:51.484Z,Santiago de Compostela,19.51,overcast clouds
2026-03-19T13:15:01.373Z,Santiago de Compostela,22.36,clear sky
2026-03-19T14:53:04.909Z,Santiago de Compostela,22.86,scattered clouds
2026-03-19T17:01:58.392Z,Santiago de Compostela,20.67,few clouds
2026-03-19T19:04:51.606Z,Santiago de Compostela,17.73,clear sky
2026-03-19T20:43:02.940Z,Santiago de Compostela,12.97,clear sky
2026-03-19T22:33:38.275Z,Santiago de Compostela,12.49,clear sky
2026-03-20T02:29:53.395Z,Santiago de Compostela,7.59,overcast clouds
2026-03-20T05:17:31.028Z,Santiago de Compostela,7.88,overcast clouds
2026-03-20T07:02:11.548Z,Santiago de Compostela,8.56,overcast clouds
2026-03-20T08:49:20.601Z,Santiago de Compostela,13.73,clear sky
2026-03-20T10:42:40.797Z,Santiago de Compostela,15.73,clear sky
2026-03-20T13:08:48.164Z,Santiago de Compostela,18.98,broken clouds
2026-03-20T14:47:49.366Z,Santiago de Compostela,16.76,overcast clouds
2026-03-20T16:51:15.845Z,Santiago de Compostela,8.01,overcast clouds
